,season,school_url,school_name,games_played,win_pct,ncaa_tournament,pace,eff_fg_pct,srs_off,srs_def,sos,team_ppg,opp_ppg,off_rating,def_rating,rank
1826,2016,https://www.sports-reference.com//cbb/schools/evansville/2016.html,Evansville,34,0.735,0,68.9,0.534,3.23,4.87,-0.39,74.3,65.3,107.39,94.73,
1827,2016,https://www.sports-reference.com//cbb/schools/fairfield/2016.html,Fairfield,33,0.576,0,72.2,0.513,3.04,-6.88,-3.14,76.4,77.1,101.17,105.55,
1828,2016,https://www.sports-reference.com//cbb/schools/fairleigh-dickinson/2016.html,Fairleigh Dickinson,33,0.545,1,72.4,0.517,1.37,-12.27,-8.31,77.5,78.8,99.82,113.27,
1829,2016,https://www.sports-reference.com//cbb/schools/florida-am/2016.html,Florida A&M,29,0.276,0,70.8,0.453,-14.89,-6.85,-10.67,64.2,73.4,79.14,107.87,
1830,2016,https://www.sports-reference.com//cbb/schools/florida-atlantic/2016.html,Florida Atlantic,33,0.242,0,68.5,0.469,-8.54,-1.76,-1.72,66.3,74.1,92.65,105.49,
1831,2016,https://www.sports-reference.com//cbb/schools/florida-gulf-coast/2016.html,Florida Gulf Coast,35,0.6,1,69.7,0.523,-1.41,0.63,-3.82,77.2,70.7,101.04,100.51,
1832,2016,https://www.sports-reference.com//cbb/schools/florida-international/2016.html,Florida International,32,0.406,0,66.8,0.52,-4.71,-0.54,-4.81,71.2,70.1,100.80,106.24,
1833,2016,https://www.sports-reference.com//cbb/schools/florida-state/2016.html,Florida State,34,0.588,0,71.8,0.518,10.23,1.94,8.16,78.0,74.0,112.90,94.47,
1834,2016,https://www.sports-reference.com//cbb/schools/florida/2016.html,Florida,36,0.583,0,70.1,0.484,6.07,8.62,9.19,74.4,68.9,110.33,88.70,
1835,2016,https://www.sports-reference.com//cbb/schools/fordham/2016.html,Fordham,31,0.548,0,68.3,0.518,-2.44,4.31,-0.09,71.2,68.6,101.81,98.64,
1836,2016,https://www.sports-reference.com//cbb/schools/fresno-state/2016.html,Fresno State,35,0.714,1,70.1,0.487,3.14,2.13,2.24,75.1,70.7,106.16,97.44,
1837,2016,https://www.sports-reference.com//cbb/schools/furman/2016.html,Furman,35,0.543,0,66.3,0.522,-5.23,2.39,-4.2,71.1,66.7,102.02,104.37,
1838,2016,https://www.sports-reference.com//cbb/schools/gardner-webb/2016.html,Gardner-Webb,33,0.515,0,71.0,0.495,-2.91,-4.01,-3.96,75.0,74.3,97.13,105.36,
1839,2016,https://www.sports-reference.com//cbb/schools/george-mason/2016.html,George Mason,32,0.344,0,67.7,0.451,-2.75,0.96,3.62,66.9,72.3,99.33,100.76,
1840,2016,https://www.sports-reference.com//cbb/schools/george-washington/2016.html,George Washington,38,0.737,0,67.5,0.508,5.64,5.79,4.24,75.7,68.5,113.59,96.20,
1841,2016,https://www.sports-reference.com//cbb/schools/georgetown/2016.html,Georgetown,33,0.455,0,69.2,0.512,5.17,5.14,8.49,73.6,71.8,111.05,95.28,
1842,2016,https://www.sports-reference.com//cbb/schools/georgia-southern/2016.html,Georgia Southern,31,0.452,0,71.2,0.484,-0.74,-4.91,-3.14,75.9,74.4,101.39,107.54,
1843,2016,https://www.sports-reference.com//cbb/schools/georgia-state/2016.html,Georgia State,30,0.533,0,65.1,0.488,-7.2,4.4,-2.19,65.7,65.0,98.29,100.30,
1844,2016,https://www.sports-reference.com//cbb/schools/georgia-tech/2016.html,Georgia Tech,36,0.583,0,67.0,0.498,6.35,6.16,9.95,73.3,70.7,114.24,95.40,
1845,2016,https://www.sports-reference.com//cbb/schools/georgia/2016.html,Georgia,34,0.588,0,68.2,0.48,2.05,7.36,8.47,70.6,69.7,107.11,92.72,
1846,2016,https://www.sports-reference.com//cbb/schools/gonzaga/2016.html,Gonzaga,36,0.778,1,68.1,0.553,8.08,8.84,4.23,78.9,65.6,117.39,92.06,
1847,2016,https://www.sports-reference.com//cbb/schools/grambling/2016.html,Grambling,31,0.226,0,67.2,0.457,-16.35,-3.27,-8.48,62.1,68.1,83.58,109.76,
1848,2016,https://www.sports-reference.com//cbb/schools/grand-canyon/2016.html,Grand Canyon,34,0.794,0,69.8,0.506,0.42,1.02,-5.6,75.9,68.1,103.39,99.45,
1849,2016,https://www.sports-reference.com//cbb/schools/green-bay/2016.html,Green Bay,36,0.639,1,77.3,0.5,10.71,-9.55,-0.67,83.7,80.0,105.40,102.16,
1850,2016,https://www.sports-reference.com//cbb/schools/hampton/2016.html,Hampton,32,0.656,1,71.7,0.464,-1.41,-7.34,-8.45,73.8,74.1,95.65,106.70,
1851,2016,https://www.sports-reference.com//cbb/schools/hartford/2016.html,Hartford,33,0.303,0,69.9,0.491,-3.32,-10.97,-5.69,70.8,78.4,96.39,114.93,
1852,2016,https://www.sports-reference.com//cbb/schools/harvard/2016.html,Harvard,30,0.467,0,67.1,0.512,-5.94,4.98,-0.25,66.7,66.2,98.32,98.32,
1853,2016,https://www.sports-reference.com//cbb/schools/hawaii/2016.html,Hawaii,34,0.824,1,71.6,0.52,4.61,4.42,-1.04,77.1,66.7,107.63,93.57,
1854,2016,https://www.sports-reference.com//cbb/schools/high-point/2016.html,High Point,32,0.656,0,67.7,0.528,0.82,-1.34,-4.24,77.3,70.6,108.33,107.36,
1855,2016,https://www.sports-reference.com//cbb/schools/hofstra/2016.html,Hofstra,34,0.706,0,70.2,0.516,6.72,-1.71,0.77,78.9,73.8,109.17,100.88,
